sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
24,1,339902.99102345237,1698424.4653108262,0.826588189528642,0.42976362617892716,-1358521.474287374
24,2,119603.21014066736,896652.9784504538,0.9389807981794183,0.6989538519666352,-777049.7683097865
24,3,10385.354382814012,3912773.5434408495,0.994701596768867,-0.31369150796259304,-3902388.1890580356
24,4,10340.610069643524,4180189.6599436197,0.9947244244360547,-0.40347495120093924,-4169849.049873976
24,5,7857.543127831324,41493.54563671168,0.9959912362772942,0.9860687775734981,-33636.00250888035
24,6,7065.956887813375,24178237.569654994,0.9963950879839603,-7.117706026203113,-24171171.61276718
24,7,6080.954450639329,510738531.3144887,0.9968976168244237,-170.47756289189743,-510732450.36003804
24,8,5774.410864306936,2015461357.6987343,0.9970540093237489,-675.6797109109546,-2015455583.28787
24,9,4895.65283288695,453390808252.2941,0.9975023343612426,-152222.3903844988,-453390803356.6413
24,10,3849.1458726091137,8145288796394.167,0.9980362415978521,-2734733.480011858,-8145288792545.021
25,1,577853.1058112716,1795848.545832673,0.8124007627178361,0.3970540441313892,-1217995.4400214015
25,2,237731.50635476326,1060326.7418285043,0.9228207846915002,0.644001314939169,-822595.235473741
25,3,24137.439704380595,2632253.2736516483,0.992163812510571,0.11623590427315988,-2608115.833947268
25,4,19214.03455642517,2138862.5040534046,0.9937621894013394,0.28188905463625347,-2119648.4694969794
25,5,9541.892546953113,85246.41682647524,0.9969022373574965,0.9713789994166901,-75704.52427952213
25,6,6230.862001941777,4180245.406117614,0.9979771589917587,-0.40349366766243766,-4174014.544115672
25,7,6163.99901224997,2994334.6354192216,0.9979988659718586,-0.005330857734563876,-2988170.6364069716
25,8,6074.93170558211,6649419.84709359,0.998027781553742,-1.2325049709682556,-6643344.915388008
25,9,5660.616047804746,1420481956.8171446,0.9981622885774327,-475.9187542205072,-1420476296.2010968
25,10,4502.542703017089,183564182292.98926,0.9985382555386104,-61629.63227838523,-183564177790.44656
26,1,327980.0344172147,2211235.9719441957,0.3348866608540132,0.2575900735901062,-1883255.9375269809
26,2,168868.41460761084,1057618.883046519,0.6575503892621648,0.6449104631551753,-888750.4684389082
26,3,125955.0239513448,2403468.0411024312,0.7445747979405218,0.19304924749640473,-2277513.0171510866
26,4,12247.662706839787,13009211.278347911,0.9751628666843861,-3.367768845274906,-12996963.615641072
26,5,8332.368894603907,121474.441203275,0.9831027223704831,0.9592156458656407,-113142.0723086711
26,6,7640.867175070298,42590708.84377468,0.9845050242469418,-13.299588745678179,-42583067.976599604
26,7,7637.001188461036,22021318.610192277,0.9845128641121559,-6.393532728425722,-22013681.609003816
26,8,7560.586379430359,727735256.3483591,0.9846678263155257,-243.33298162947276,-727727695.7619797
26,9,5300.093677046552,1312870669618.9006,0.9892518975748301,-440787.87535485247,-1312870664318.807
26,10,4632.25108386948,9224780143860.598,0.990606220919424,-3097166.5726356315,-9224780139228.346
27,1,73034.01499841418,1770708.63021595,0.9078407485373017,0.40549462810332604,-1697674.615217536
27,2,70586.86562351506,1598720.9797448663,0.9109287268527895,0.4632385055319219,-1528134.1141213512
27,3,35062.5040691763,1831996.1959489398,0.9557557649063485,0.38491767578210234,-1796933.6918797635
27,4,12076.46456723648,5354918.103444402,0.9847611015927786,-0.7978833582440905,-5342841.6388771655
27,5,11574.938932878857,718256.8153848503,0.9853939605017782,0.7588493511235586,-706681.8764519714
27,6,10449.563114634799,40825007.7892341,0.986814035695862,-12.706764638891071,-40814558.226119466
27,7,8158.969987315116,3821413466.2984767,0.9897044607673026,-1282.0178806298954,-3821405307.3284893
27,8,7815.5967165925495,21361977323.414806,0.9901377523452445,-7171.162633869472,-21361969507.81809
27,9,7246.0456234609255,456116143140.917,0.9908564503712795,-153137.40610411277,-456116135894.8714
27,10,7002.274143374457,4674753413483.182,0.9911640576845733,-1569520.9242643702,-4674753406480.907
28,1,711472.2356466221,1930717.2856155853,0.853353840487266,0.3517726302761366,-1219245.049968963
28,2,173359.44074366734,1072747.8398405022,0.9642677606706199,0.6398310017848883,-899388.3990968349
28,3,122867.4580486395,1465453.396414392,0.9746749908862582,0.5079823401965738,-1342585.9383657523
28,4,47067.277760711295,5284099.113596161,0.9902986579426332,-0.7741062843773752,-5237031.835835449
28,5,6499.945068306417,19425.346644668432,0.9986602541412672,0.9934780501240331,-12925.401576362015
28,6,5742.326357651537,585139.2430521983,0.9988164118502066,0.8035428204471673,-579396.9166945468
28,7,3388.978403930824,56255338.92996126,0.9993014756687499,-17.887410735469967,-56251949.95155732
28,8,2999.361868766562,410597320.5225812,0.9993817820611878,-136.85571977885772,-410594321.1607125
28,9,2989.567585331609,180500811.86220598,0.9993838008245055,-59.60212304421045,-180497822.29462066
28,10,2503.9693167960604,33058979101.193466,0.9994838906348719,-11098.364587545091,-33058976597.224148
