,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
mean,190,15,12.666666666666666,5.268506044211794,3.744057074323851,3.5623921862860053,2.8579906765449916
size,452,19,23.789473684210527,7.294571988586654,4.478183233298874,3.9202476248119167,3.729549551573079
two,116,14,8.285714285714286,4.941112208570607,3.326080577479488,3.4579478277876654,2.271058532719255
alternative,17,8,2.125,2.6413617586142877,1.6993734988405087,2.610777522845187,0.38934967881928456
into,121,19,6.368421052631579,7.122452061531521,3.3618275276033756,3.9202476248119167,1.9071220651229808
called,43,15,2.8666666666666667,5.627685673219827,2.4854497591456743,3.5623921862860053,0.8033403942688193
within,113,14,8.071428571428571,4.947783276123434,3.3038851502038646,3.4579478277876654,2.2348249590166858
select,47,11,4.2727272727272725,3.8345133020919975,2.5607951296923113,3.0928663958147458,1.3552334261931798
samples,233,18,12.944444444444445,6.500931682080857,3.916872966624258,3.8383983537255593,2.887988286973132
combined,16,10,1.6,3.5387261149303635,1.6480197754293502,2.94858177084582,-0.0030550569411136523
derive,11,6,1.8333333333333333,1.7875941634100148,1.3306255684213535,2.1752721023412476,0.18519336184731613
divided,37,14,2.642857142857143,5.210329527893443,2.358149159854792,3.4579478277876654,0.6909306115931845
one,164,16,10.25,5.712178530206724,3.6194032168867616,3.660093358789312,2.565249679703129
elements,95,7,13.571428571428571,2.7026936315346584,3.156908032776346,2.408631991843541,2.953396476309308
other,152,16,9.5,5.731813474199335,3.555037301963522,3.660093358789312,2.460173661415983
much,30,10,3.0,3.464003547704593,2.1804997194293376,2.94858177084582,0.8662073842128154
by,430,19,22.63157894736842,7.214940280208472,4.4359166561485175,3.9202476248119167,3.6605502428724668
s,291,19,15.31578947368421,6.929351082640206,4.105165322013735,3.9202476248119167,3.1206055644585753
published,12,8,1.5,2.6742082962762694,1.404330905521504,2.610777522845187,-0.09230122240765451
proceedings,34,6,5.666666666666667,1.7611265604292758,2.2865225403880136,2.1752721023412476,1.7456753005687633
international,25,5,5.0,1.3585595521839893,2.0260593201500083,1.899265934901694,1.5725952490042923
2019,50,6,8.333333333333334,1.9309188832724107,2.613208361697513,2.1752721023412476,2.278983113795769
distribution,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
this,578,19,30.42105263157895,7.908554424095652,4.686472429989191,3.9202476248119167,4.069577335945405
paper,48,9,5.333333333333333,2.95934908707904,2.5786289886165137,2.7890825177814342,1.661841414470833
terms,39,11,3.5454545454545454,3.867548686938902,2.4027424562373554,3.0928663958147458,1.0972157218524452
provides,30,10,3.0,3.464003547704593,2.1804997194293376,2.94858177084582,0.8662073842128154
some,113,15,7.533333333333333,5.382256306805878,3.3038851502038646,3.5623921862860053,2.139419159252369
sizes,123,16,7.6875,5.794343325392252,3.375714346978915,3.660093358789312,2.1674326645741204
standard,82,11,7.454545454545454,3.7360780986845303,3.032254175339257,3.0928663958147458,2.124880519085706
deviation,18,6,3.0,1.7443227637712917,1.7477910771611622,2.1752721023412476,0.8662073842128154
larger,51,15,3.4,5.59328764021762,2.629982712027672,3.5623921862860053,1.039287435777286
another,28,8,3.5,2.585504472457193,2.122057444104133,2.610777522845187,1.0793724341109665
above,42,12,3.5,4.298737361553525,2.4655176157437917,3.224587938285373,1.0793724341109665
example,152,17,8.941176470588236,6.166045769155113,3.555037301963522,3.751869503169961,2.3763397753180526
if,248,17,14.588235294117647,6.082458073275524,3.969722349163684,3.751869503169961,3.0533044957756803
three,77,12,6.416666666666667,4.173731412206062,2.978961320191146,3.224587938285373,1.9175586098573982
it,313,19,16.473684210526315,6.948395952590954,4.1669002296265685,3.9202476248119167,3.221386517996134
best,62,10,6.2,3.3536304218551196,2.7954242660686743,2.94858177084582,1.8700589255906734
allocate,17,6,2.8333333333333335,1.7486677593322508,1.6993734988405087,2.1752721023412476,0.7871666939482935
first,69,15,4.6,5.521704254576864,2.8860378893061256,3.5623921862860053,1.4572921906590508
second,61,14,4.357142857142857,5.108654800104905,2.7816503526593803,3.4579478277876654,1.3822875065092597
since,71,13,5.461538461538462,4.629678735578337,2.9102417362160335,3.3457600112148747,1.6946894105671026
higher,27,10,2.7,3.478721684976106,2.091251248800821,2.94858177084582,0.7205111109127994
so,96,13,7.384615384615385,4.556521470962375,3.1657780301640184,3.3457600112148747,2.1118470991967024
further,45,9,5.0,2.9665136463845956,2.523959891068996,2.7890825177814342,1.5725952490042923
reduces,13,9,1.4444444444444444,3.1125252569729787,1.4721332430501923,2.7890825177814342,-0.1444898920045148
not,369,16,23.0625,5.9530415836786315,4.306323560166078,3.660093358789312,3.686632862686051
such,146,16,9.125,5.743011197455608,3.5209222078804445,3.660093358789312,2.404481479396724
as,598,19,31.473684210526315,8.028221716877129,4.715287351477327,3.9202476248119167,4.116617096365823
sum,52,9,5.777777777777778,2.951610977710052,2.6464313261452017,2.7890825177814342,1.7725273212364248
but,79,14,5.642857142857143,5.043495762449231,3.0006824336571296,3.4579478277876654,1.7398528262260406
defined,17,6,2.8333333333333335,1.7486677593322508,1.6993734988405087,2.1752721023412476,0.7871666939482935
selection,69,11,6.2727272727272725,3.7636614227466896,2.8860378893061256,3.0928663958147458,1.8861854711955572
